time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
870.0,3840220.144419326,3506937.005248793,4424653.316857906,-6317.548366859285,2669.1108294789674,3367.5797617806475
880.0,3776805.5689954762,3533408.0110610416,4458051.4142552735,-6365.234384397667,2625.0350932854108,3311.970022555252
890.0,3712918.1133029587,3559436.61153919,4490891.335036981,-6412.123433786421,2580.6306858702364,3255.9456034514583
900.0,3648565.7764607808,3585019.5477356007,4523168.967434425,-6458.209644215978,2535.9031669499095,3199.513519085686
910.0,3583756.615794049,3610153.616502661,4554880.270081111,-6503.487245397356,2490.8581366965277,3142.6808351166587
920.0,3518498.745825142,3634835.670893837,4586021.272518661,-6547.950568284631,2445.501235036642,3085.4546673607388
930.0,3452800.3372577196,3659062.6205576947,4616588.075693939,-6591.594045784743,2399.838140945103,3027.8421809009806
940.0,3386669.615953697,3682831.432124827,4646576.852447236,-6634.41221345453,2353.8745717340175,2969.850589190017
950.0,3320114.8619033163,3706139.129587655,4675983.847991459,-6676.399710184911,2307.6162823369027,2911.4871531468893
960.0,3253144.4081884385,3728982.79467304,4704805.38038225,-6717.551278872133,2261.0690645881323,2852.7591802479315
970.0,3185766.639939186,3751359.5672076736,4733037.840978991,-6757.861767075991,2214.2387464977623,2793.67402361183
980.0,3117989.993284073,3773266.6454761866,4760677.694896631,-6797.32612766495,2167.1311915218257,2734.239081078964
990.0,3049822.954293747,3794701.286571943,4787721.481448271,-6835.939419448076,2119.752297828192,2674.46179428515
1000.0,2981274.0579184773,3815660.8067404698,4814165.814578471,-6873.696807793704,2072.1079975580756,2614.3496477299004
1010.0,2912351.886919528,3836142.5817154795,4840007.383287198,-6910.593565234766,2024.2042560832977,2553.9101678393163
1020.0,2843065.0707945367,3856144.047047446,4865242.952044392,-6946.625072060704,1976.0470712593803,2493.150922023731
1030.0,2773422.2846970498,3875662.698424689,4889869.361195071,-6981.78681689588,1927.642472674578,2432.0795177302202
1040.0,2703432.2483503358,3894696.0919869305,4913883.527354939,-7016.074397264436,1878.9965208949336,2370.7036014901046
1050.0,2633103.7249556202,3913241.8446312817,4937282.443796449,-7049.483520141505,1830.115306705458,2309.0308579615503
1060.0,2562445.5200948776,3931297.634310623,4960063.180825263,-7082.010002490733,1781.0049503475236,2247.0690089674044
1070.0,2491466.480628315,3948861.20032434,4982222.886147067,-7113.6497717880175,1731.671600752571,2184.8258125283705
1080.0,2420175.4935866883,3965930.343601374,5003758.785224699,-7144.398866531413,1682.1214347722237,2122.3090618916567
1090.0,2348581.4850585903,3982502.9269755646,5024668.181625538,-7174.253436737138,1632.3606564049069,2059.52658455521
1100.0,2276693.4190728464,3998576.8754532337,5044948.457359112,-7203.20974442162,1582.3954960190663,1996.4862412876628
1110.0,2204520.29647616,4014150.176472989,5064597.073204893,-7231.264164069509,1532.2322095730867,1933.1959251441167
1120.0,2132071.1538061514,4029220.880157709,5083611.569030218,-7258.413183087623,1481.8770778320059,1869.6635604778787
1130.0,2059355.062159921,4043787.0995586817,5101989.564098316,-7284.653402244739,1431.336405581122,1805.897101948283
1140.0,1986381.1260582942,4057847.01089186,5119728.757366392,-7309.981536097203,1380.6165208365953,1741.9045335247165
1150.0,1913158.4823058746,4071398.8537662127,5136826.927773729,-7334.394413400292,1329.7237740531382,1677.6938674869734
1160.0,1839696.2988470579,4084440.9314041375,5153281.9345197845,-7357.888977505266,1278.6645373288989,1613.273143422068
1170.0,1766003.7736181463,4096971.6108539067,5169091.717332228,-7380.462286742086,1227.4452036076334,1548.6504272176257
1180.0,1692090.133395709,4108989.323194125,5184254.2967249025,-7402.111514787727,1176.072185878268,1483.8338100519832
1190.0,1617964.6326413297,4120492.563730167,5198767.774245666,-7422.833951020056,1124.5519163719525,1418.8314073811202
1200.0,1543636.5523428882,4131479.8921825755,5212630.332714095,-7442.627000857213,1072.8908457567024,1353.6513579225527
1210.0,1469115.1988525225,4141949.9328673934,5225840.236449,-7461.488186082474,1021.0954423297351,1288.3018226363135
1220.0,1394409.902721413,4151901.374868408,5238395.831485754,-7479.415145154539,969.172191207597,1222.7909837031473
1230.0,1319530.017531538,4161332.9722012863,5250295.545783367,-7496.405633503209,917.1275935141857,1157.1270435000495
1240.0,1244484.9187245448,4170243.543969581,5261537.889421327,-7512.457523810425,864.9681655667672,1091.3182235732759
1250.0,1169284.0024278853,4178631.9745125845,5272121.4547861405,-7527.568806276619,812.7004380600916,1025.3727636089527
1260.0,1093936.6842783594,4186497.2135450183,5282044.916747577,-7541.7375888723545,760.3309552487082,959.2989204014149
1270.0,1018452.3982432178,4193838.276288535,5291307.032824583,-7554.9620975752205,707.8662741275823,893.104966819402
1280.0,942840.5954389686,4200654.243595019,5299906.643340852,-7567.240676591951,655.3129636111181,826.7991907702423
1290.0,867110.7429480365,4206944.2620616695,5307842.671570018,-7578.571788565741,602.6776037106883,760.3898941621544
