time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
230.0,6603251.965899431,1079532.3915105728,1362030.903208066,6828137.000000002,6603251.96589943,1079532.3915105728,1362030.9032080667,6828137.000000001,1.1641532182693481e-09,1.7049353553822191e-16,-1944.7164539174507,4589.531503180398,5790.547636863053,7640.429532402147,-1944.716453917451,4589.531503180397,5790.547636863058,7640.429532402149,4.903053798636352e-12,6.417248896600757e-16,-3.725290298461914e-09,-1.276305285912175e-16,-7.62939453125e-06,-1.462413114033391e-16
240.0,6583391.8224419,1125359.1666191926,1419849.9037152824,6828137.000000002,6583391.822441898,1125359.1666191923,1419849.9037152831,6828137.0,2.0028849288454807e-09,2.933281697255753e-16,-2027.270793448665,4575.727887245896,5773.131807910946,7640.429532402147,-2027.2707934486652,4575.727887245895,5773.1318079109515,7640.42953240215,5.756641667709193e-12,7.534447694721825e-16,-3.725290298461914e-09,-1.276305285912175e-16,-7.62939453125e-06,-1.462413114033391e-16
250.0,6562707.396124987,1171045.039545972,1477491.1299125245,6828137.000000002,6562707.396124985,1171045.0395459721,1477491.1299125254,6828136.999999999,2.0954757928848267e-09,3.0688836396879954e-16,-2109.5713056806035,4561.351360846944,5754.993145847495,7640.429532402146,-2109.5713056806044,4561.351360846942,5754.9931458475,7640.42953240215,5.823607568738997e-12,7.622094470005609e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
260.0,6541201.276771466,1216584.2901267488,1534947.3647487592,6828137.000000002,6541201.276771464,1216584.2901267488,1534947.3647487604,6828137.0,2.1965198991952006e-09,3.2168655948104153e-16,-2191.6076860615426,4546.403724016808,5736.133921749469,7640.429532402145,-2191.6076860615435,4546.403724016807,5736.133921749474,7640.42953240215,5.606501875235132e-12,7.337940689667546e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-1.52587890625e-05,-2.924826228066782e-16
270.0,6518876.157085346,1261971.2165554182,1592211.4143350592,6828137.000000002,6518876.157085344,1261971.216555418,1592211.4143350602,6828136.999999999,2.0954757928848267e-09,3.0688836396879954e-16,-2273.36966311076,4530.886848295443,5716.556496912624,7640.429532402147,-2273.3696631107605,4530.886848295442,5716.556496912629,7640.42953240215,4.6597737154841516e-12,6.098837369970638e-16,-1.862645149230957e-08,-6.381526429560877e-16,-7.62939453125e-06,-1.462413114033391e-16
280.0,6495734.832314729,1307200.1360978358,1649276.1088453217,6828137.000000002,6495734.832314727,1307200.1360978354,1649276.1088453226,6828137.0,2.1339280972982942e-09,3.1251981284181824e-16,-2354.846999704589,4514.802676495161,5696.26332255605,7640.429532402145,-2354.8469997045895,4514.80267649516,5696.263322556057,7640.42953240215,6.44715641044869e-12,8.438211992018341e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
290.0,6471780.199901824,1352265.3858033323,1706134.3034139774,6828137.000000002,6471780.199901822,1352265.3858033319,1706134.3034139783,6828137.0,2.1339280972982942e-09,3.1251981284181824e-16,-2436.0294943581725,4498.153222457379,5675.25693951527,7640.429532402145,-2436.029494358173,4498.153222457378,5675.256939515276,7640.42953240215,6.44715641044869e-12,8.438211992018341e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
300.0,6447015.259120172,1397161.3232137512,1762778.8790305736,6828137.000000002,6447015.25912017,1397161.3232137512,1762778.879030575,6828137.0,2.3283064365386963e-09,3.409870710764439e-16,-2516.9069825027555,4480.940570800476,5653.539977924101,7640.429532402145,-2516.9069825027564,4480.940570800475,5653.539977924108,7640.4295324021505,7.388769886016199e-12,9.670621075269796e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
310.0,6421443.110699116,1441882.3270699207,1819202.74343112,6828137.000000002,6421443.110699113,1441882.3270699205,1819202.743431121,6828137.0,3.0357401842263756e-09,4.44592746780912e-16,-2597.469337758352,4463.166876658782,5631.115156885353,7640.429532402146,-2597.4693377583526,4463.16687665878,5631.115156885359,7640.42953240215,6.636819088874483e-12,8.686447614926001e-16,-1.862645149230957e-08,-6.381526429560877e-16,-7.62939453125e-06,-1.462413114033391e-16
320.0,6395066.9564355705,1486422.7980154715,1875398.8319860848,6828137.000000002,6395066.956435569,1486422.798015471,1875398.831986086,6828137.0,2.2453374138551194e-09,3.288360227475107e-16,-2677.7064732016343,4444.834365412741,5607.985284130376,7640.429532402147,-2677.706473201635,4444.83436541274,5607.985284130381,7640.42953240215,4.725873098056247e-12,6.185350022553553e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
