time_s,energy_Jkg,dE_abs,dE_rel
79160.0,-29188081.71980123,2.3469328880310059e-07,8.040723301246704e-15
79170.0,-29188081.71980123,2.3469328880310059e-07,8.040723301246704e-15
79180.0,-29188081.719801236,2.2724270820617676e-07,7.785462244064269e-15
79190.0,-29188081.71980123,2.3469328880310059e-07,8.040723301246704e-15
79200.0,-29188081.71980123,2.3469328880310059e-07,8.040723301246704e-15
79210.0,-29188081.71980122,2.421438694000244e-07,8.295984358429138e-15
79220.0,-29188081.71980123,2.3469328880310059e-07,8.040723301246704e-15
79230.0,-29188081.71980122,2.421438694000244e-07,8.295984358429138e-15
79240.0,-29188081.719801236,2.2724270820617676e-07,7.785462244064269e-15
79250.0,-29188081.71980122,2.421438694000244e-07,8.295984358429138e-15
79260.0,-29188081.719801214,2.4959444999694824e-07,8.551245415611573e-15
79270.0,-29188081.71980123,2.3469328880310059e-07,8.040723301246704e-15
79280.0,-29188081.719801214,2.4959444999694824e-07,8.551245415611573e-15
79290.0,-29188081.719801217,2.4586915969848633e-07,8.423614887020357e-15
79300.0,-29188081.719801225,2.384185791015625e-07,8.168353829837922e-15
79310.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79320.0,-29188081.719801217,2.4586915969848633e-07,8.423614887020357e-15
79330.0,-29188081.719801217,2.4586915969848633e-07,8.423614887020357e-15
79340.0,-29188081.719801195,2.682209014892578e-07,9.189398058567661e-15
79350.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79360.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79370.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79380.0,-29188081.719801214,2.4959444999694824e-07,8.551245415611573e-15
79390.0,-29188081.7198012,2.644956111907959e-07,9.061767529976443e-15
79400.0,-29188081.7198012,2.644956111907959e-07,9.061767529976443e-15
79410.0,-29188081.719801214,2.4959444999694824e-07,8.551245415611573e-15
79420.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79430.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79440.0,-29188081.71980118,2.8312206268310547e-07,9.699920172932531e-15
79450.0,-29188081.719801195,2.682209014892578e-07,9.189398058567661e-15
79460.0,-29188081.719801195,2.682209014892578e-07,9.189398058567661e-15
79470.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79480.0,-29188081.719801206,2.5704503059387207e-07,8.806506472794008e-15
79490.0,-29188081.7198012,2.644956111907959e-07,9.061767529976443e-15
79500.0,-29188081.719801206,2.5704503059387207e-07,8.806506472794008e-15
79510.0,-29188081.7198012,2.644956111907959e-07,9.061767529976443e-15
79520.0,-29188081.71980121,2.5331974029541016e-07,8.678875944202792e-15
79530.0,-29188081.71980121,2.5331974029541016e-07,8.678875944202792e-15
79540.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79550.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79560.0,-29188081.71980119,2.7194619178771973e-07,9.317028587158878e-15
79570.0,-29188081.71980119,2.7194619178771973e-07,9.317028587158878e-15
79580.0,-29188081.719801184,2.7939677238464355e-07,9.572289644341315e-15
79590.0,-29188081.71980119,2.7194619178771973e-07,9.317028587158878e-15
79600.0,-29188081.7198012,2.644956111907959e-07,9.061767529976443e-15
79610.0,-29188081.719801195,2.682209014892578e-07,9.189398058567661e-15
79620.0,-29188081.719801195,2.682209014892578e-07,9.189398058567661e-15
79630.0,-29188081.71980118,2.8312206268310547e-07,9.699920172932531e-15
79640.0,-29188081.719801184,2.7939677238464355e-07,9.572289644341315e-15
79650.0,-29188081.7198012,2.644956111907959e-07,9.061767529976443e-15
79660.0,-29188081.719801214,2.4959444999694824e-07,8.551245415611573e-15
79670.0,-29188081.71980122,2.421438694000244e-07,8.295984358429138e-15
79680.0,-29188081.719801232,2.3096799850463867e-07,7.913092772655487e-15
79690.0,-29188081.719801232,2.3096799850463867e-07,7.913092772655487e-15
79700.0,-29188081.719801225,2.384185791015625e-07,8.168353829837922e-15
79710.0,-29188081.71980122,2.421438694000244e-07,8.295984358429138e-15
79720.0,-29188081.71980123,2.3469328880310059e-07,8.040723301246704e-15
79730.0,-29188081.71980122,2.421438694000244e-07,8.295984358429138e-15
79740.0,-29188081.71980122,2.421438694000244e-07,8.295984358429138e-15
79750.0,-29188081.719801225,2.384185791015625e-07,8.168353829837922e-15
79760.0,-29188081.719801225,2.384185791015625e-07,8.168353829837922e-15
79770.0,-29188081.71980125,2.123415470123291e-07,7.274940129699399e-15
79780.0,-29188081.719801236,2.2724270820617676e-07,7.785462244064269e-15
79790.0,-29188081.71980123,2.3469328880310059e-07,8.040723301246704e-15
79800.0,-29188081.719801217,2.4586915969848633e-07,8.423614887020357e-15
79810.0,-29188081.719801195,2.682209014892578e-07,9.189398058567661e-15
79820.0,-29188081.719801195,2.682209014892578e-07,9.189398058567661e-15
79830.0,-29188081.719801188,2.7567148208618164e-07,9.444659115750096e-15
79840.0,-29188081.71980121,2.5331974029541016e-07,8.678875944202792e-15
79850.0,-29188081.719801217,2.4586915969848633e-07,8.423614887020357e-15
79860.0,-29188081.719801214,2.4959444999694824e-07,8.551245415611573e-15
79870.0,-29188081.719801206,2.5704503059387207e-07,8.806506472794008e-15
79880.0,-29188081.719801206,2.5704503059387207e-07,8.806506472794008e-15
79890.0,-29188081.719801188,2.7567148208618164e-07,9.444659115750096e-15
79900.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79910.0,-29188081.71980121,2.5331974029541016e-07,8.678875944202792e-15
79920.0,-29188081.719801214,2.4959444999694824e-07,8.551245415611573e-15
79930.0,-29188081.71980122,2.421438694000244e-07,8.295984358429138e-15
79940.0,-29188081.719801225,2.384185791015625e-07,8.168353829837922e-15
79950.0,-29188081.719801202,2.60770320892334e-07,8.934137001385227e-15
79960.0,-29188081.719801217,2.4586915969848633e-07,8.423614887020357e-15
79970.0,-29188081.71980122,2.421438694000244e-07,8.295984358429138e-15
79980.0,-29188081.71980123,2.3469328880310059e-07,8.040723301246704e-15
79990.0,-29188081.719801232,2.3096799850463867e-07,7.913092772655487e-15
80000.0,-29188081.71980124,2.2351741790771484e-07,7.65783171547305e-15
80010.0,-29188081.71980125,2.123415470123291e-07,7.274940129699399e-15
80020.0,-29188081.71980125,2.123415470123291e-07,7.274940129699399e-15
80030.0,-29188081.71980126,2.0489096641540527e-07,7.019679072516964e-15
80040.0,-29188081.71980127,1.9371509552001953e-07,6.636787486743311e-15
80050.0,-29188081.71980127,1.9371509552001953e-07,6.636787486743311e-15
80060.0,-29188081.719801273,1.8998980522155762e-07,6.509156958152093e-15
80070.0,-29188081.719801273,1.8998980522155762e-07,6.509156958152093e-15
80080.0,-29188081.719801273,1.8998980522155762e-07,6.509156958152093e-15
80090.0,-29188081.719801255,2.086162567138672e-07,7.14730960110818e-15
80100.0,-29188081.719801277,1.862645149230957e-07,6.381526429560876e-15
80110.0,-29188081.71980128,1.825392246246338e-07,6.2538959009696584e-15
80120.0,-29188081.719801273,1.8998980522155762e-07,6.509156958152093e-15
80130.0,-29188081.71980128,1.825392246246338e-07,6.2538959009696584e-15
80140.0,-29188081.719801273,1.8998980522155762e-07,6.509156958152093e-15
80150.0,-29188081.719801277,1.862645149230957e-07,6.381526429560876e-15
80160.0,-29188081.719801284,1.7881393432617188e-07,6.126265372378441e-15
80170.0,-29188081.71980128,1.825392246246338e-07,6.2538959009696584e-15
80180.0,-29188081.71980128,1.825392246246338e-07,6.2538959009696584e-15
80190.0,-29188081.71980128,1.825392246246338e-07,6.2538959009696584e-15
80200.0,-29188081.7198013,1.6391277313232422e-07,5.615743258013571e-15
80210.0,-29188081.7198013,1.6391277313232422e-07,5.615743258013571e-15
80220.0,-29188081.7198013,1.6391277313232422e-07,5.615743258013571e-15
80230.0,-29188081.719801303,1.601874828338623e-07,5.488112729422354e-15
80240.0,-29188081.71980132,1.4156103134155273e-07,4.849960086466266e-15
80250.0,-29188081.71980132,1.4156103134155273e-07,4.849960086466266e-15
80260.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80270.0,-29188081.719801333,1.30385160446167e-07,4.467068500692613e-15
80280.0,-29188081.719801318,1.4528632164001465e-07,4.977590615057483e-15
80290.0,-29188081.719801325,1.3783574104309082e-07,4.722329557875048e-15
80300.0,-29188081.71980132,1.4156103134155273e-07,4.849960086466266e-15
80310.0,-29188081.719801314,1.4901161193847656e-07,5.1052211436487005e-15
80320.0,-29188081.71980132,1.4156103134155273e-07,4.849960086466266e-15
80330.0,-29188081.71980131,1.5273690223693848e-07,5.232851672239918e-15
80340.0,-29188081.719801318,1.4528632164001465e-07,4.977590615057483e-15
80350.0,-29188081.719801318,1.4528632164001465e-07,4.977590615057483e-15
80360.0,-29188081.71980133,1.341104507446289e-07,4.594699029283831e-15
80370.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80380.0,-29188081.71980133,1.341104507446289e-07,4.594699029283831e-15
80390.0,-29188081.719801318,1.4528632164001465e-07,4.977590615057483e-15
80400.0,-29188081.71980131,1.5273690223693848e-07,5.232851672239918e-15
80410.0,-29188081.719801325,1.3783574104309082e-07,4.722329557875048e-15
80420.0,-29188081.719801307,1.564621925354004e-07,5.3604822008311355e-15
