time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
250.0,6562707.396124984,1171045.0395459712,1477491.1299125256,6828136.999999999,6562707.396124985,1171045.0395459721,1477491.1299125254,6828136.999999999,1.337510218503426e-09,1.9588215914581475e-16,-2109.5713056806053,4561.351360846936,5754.9931458475,7640.429532402146,-2109.5713056806044,4561.351360846942,5754.9931458475,7640.42953240215,6.431098710768743e-12,8.417195242093682e-16,-3.3527612686157227e-08,-1.1486747573209577e-15,-3.0517578125e-05,-5.849652456133564e-16
260.0,6541201.276771462,1216584.290126748,1534947.3647487606,6828136.999999998,6541201.276771464,1216584.2901267488,1534947.3647487604,6828137.0,2.954289675794896e-09,4.32664089164423e-16,-2191.607686061544,4546.403724016802,5736.133921749474,7640.429532402147,-2191.6076860615435,4546.403724016807,5736.133921749474,7640.42953240215,5.475883235154604e-12,7.166983494752536e-16,-3.3527612686157227e-08,-1.1486747573209577e-15,-3.814697265625e-05,-7.312065570166955e-16
270.0,6518876.157085341,1261971.2165554173,1592211.4143350604,6828136.999999997,6518876.157085344,1261971.216555418,1592211.4143350602,6828136.999999999,2.8893523025305143e-09,4.231538269560957e-16,-2273.3696631107614,4530.886848295436,5716.556496912629,7640.429532402145,-2273.3696631107605,4530.886848295442,5716.556496912629,7640.42953240215,6.431098710768743e-12,8.417195242093682e-16,-4.842877388000488e-08,-1.6591968716858277e-15,-4.57763671875e-05,-8.774478684200346e-16
280.0,6495734.832314725,1307200.136097835,1649276.108845323,6828136.999999998,6495734.832314727,1307200.1360978354,1649276.1088453226,6828137.0,1.9756335239481576e-09,2.8933712430611125e-16,-2354.8469997045904,4514.802676495154,5696.263322556057,7640.429532402147,-2354.8469997045895,4514.80267649516,5696.263322556057,7640.42953240215,6.431098710768743e-12,8.417195242093682e-16,-3.3527612686157227e-08,-1.1486747573209577e-15,-3.814697265625e-05,-7.312065570166955e-16
290.0,6471780.19990182,1352265.3858033312,1706134.3034139788,6828136.999999999,6471780.199901822,1352265.3858033319,1706134.3034139783,6828137.0,2.0430806063562917e-09,2.992149405256942e-16,-2436.0294943581744,4498.153222457371,5675.256939515277,7640.429532402147,-2436.029494358173,4498.153222457378,5675.256939515276,7640.42953240215,7.458411103860602e-12,9.76176937727175e-16,-2.60770320892334e-08,-8.934137001385226e-16,-3.0517578125e-05,-5.849652456133564e-16
300.0,6447015.259120167,1397161.32321375,1762778.8790305753,6828136.999999997,6447015.25912017,1397161.3232137512,1762778.879030575,6828137.0,3.0357401842263756e-09,4.44592746780912e-16,-2516.9069825027573,4480.940570800468,5653.53997792411,7640.429532402148,-2516.9069825027564,4480.940570800475,5653.539977924108,7640.4295324021505,7.554830392944564e-12,9.887965540295122e-16,-3.3527612686157227e-08,-1.1486747573209577e-15,-3.0517578125e-05,-5.849652456133564e-16
310.0,6421443.110699112,1441882.327069919,1819202.7434311216,6828136.999999998,6421443.110699113,1441882.3270699205,1819202.743431121,6828137.0,2.3744159907068985e-09,3.4773994586032743e-16,-2597.469337758354,4463.166876658774,5631.115156885362,7640.429532402149,-2597.4693377583526,4463.16687665878,5631.115156885359,7640.42953240215,7.059577317822925e-12,9.239764973793817e-16,-1.862645149230957e-08,-6.381526429560877e-16,-2.288818359375e-05,-4.387239342100173e-16
320.0,6395066.956435566,1486422.7980154702,1875398.8319860864,6828136.999999998,6395066.956435569,1486422.798015471,1875398.831986086,6828137.0,2.9816870751943665e-09,4.3667651589216304e-16,-2677.706473201636,4444.834365412733,5607.985284130383,7640.429532402147,-2677.706473201635,4444.83436541274,5607.985284130381,7640.42953240215,7.554830392944564e-12,9.887965540295124e-16,-3.3527612686157227e-08,-1.1486747573209577e-15,-3.814697265625e-05,-7.312065570166955e-16
330.0,6367890.098793131,1530777.1592979103,1931360.108584935,6828136.999999999,6367890.098793132,1530777.1592979115,1931360.108584934,6828137.000000001,1.891525090820147e-09,2.7701920609093617e-16,-2757.608342628883,4425.945332410276,5584.153255667519,7640.429532402146,-2757.608342628882,4425.945332410284,5584.153255667518,7640.4295324021505,8.285891071085916e-12,1.0844797450125597e-15,-3.3527612686157227e-08,-1.1486747573209577e-15,-2.288818359375e-05,-4.387239342100173e-16
340.0,6339915.940488601,1574939.8574668716,1987079.5665170928,6828136.999999999,6339915.940488602,1574939.8574668725,1987079.566517092,6828137.000000001,1.4908435375971833e-09,2.183382579460815e-16,-2837.164941813825,4406.502142679425,5559.622055419511,7640.429532402145,-2837.164941813824,4406.502142679433,5559.62205541951,7640.42953240215,8.285891071085916e-12,1.08447974501256e-15,-4.0978193283081055e-08,-1.4039358145033928e-15,-3.0517578125e-05,-5.849652456133564e-16
