time_s,energy_Jkg,dE_rel
2110.0,-29188081.763737544,-7.91309276074417e-15
2120.0,-29188081.76373808,-2.61642583218154e-14
2130.0,-29188081.763738096,-2.68024109638109e-14
2140.0,-29188081.763737768,-1.5570924464690142e-14
2150.0,-29188081.763738327,-3.471550372455507e-14
2160.0,-29188081.76373909,-6.087976204637047e-14
2170.0,-29188081.76373885,-5.2583777700429e-14
2180.0,-29188081.763738357,-3.5608917423348767e-14
2190.0,-29188081.76373812,-2.76958246626046e-14
2200.0,-29188081.76373811,-2.7312933077407296e-14
2210.0,-29188081.763738435,-3.8416789048128965e-14
2220.0,-29188081.76373835,-3.5481286894949664e-14
2230.0,-29188081.76373788,-1.9272209788264027e-14
2240.0,-29188081.76373808,-2.62918888502145e-14
2250.0,-29188081.763738148,-2.858923836139829e-14
2260.0,-29188081.763737872,-1.9144579259864928e-14
2270.0,-29188081.76373768,-1.2507791783111752e-14
2280.0,-29188081.763738062,-2.5781366736618104e-14
2290.0,-29188081.76373826,-3.241815421337128e-14
2300.0,-29188081.7637388,-5.0796950302841615e-14
2310.0,-29188081.763738517,-4.1097030144510055e-14
2320.0,-29188081.763738364,-3.5991809008546073e-14
2330.0,-29188081.763738256,-3.2290523684972185e-14
2340.0,-29188081.76373823,-3.139710998617848e-14
2350.0,-29188081.76373813,-2.7823455191003696e-14
2360.0,-29188081.763738792,-5.066931977444251e-14
2370.0,-29188081.763739407,-7.172835696029394e-14
2380.0,-29188081.76373985,-8.691638983978677e-14
2390.0,-29188081.763739742,-8.32151045162129e-14
2400.0,-29188081.76373907,-6.024160940437497e-14
2410.0,-29188081.763739534,-7.606779492586333e-14
2420.0,-29188081.76373941,-7.185598748869304e-14
2430.0,-29188081.76373928,-6.726128846632546e-14
2440.0,-29188081.763738982,-5.717847672279658e-14
2450.0,-29188081.76373868,-4.684040392246952e-14
2460.0,-29188081.763738614,-4.454305441128573e-14
2470.0,-29188081.763738085,-2.64195193786136e-14
2480.0,-29188081.763737485,-5.871004306358578e-15
2490.0,-29188081.76373684,1.6336707635084743e-14
2500.0,-29188081.76373651,2.7568194134205494e-14
2510.0,-29188081.76373585,5.028642818924521e-14
2520.0,-29188081.763736334,3.356682896896317e-14
2530.0,-29188081.7637363,3.471550372455507e-14
2540.0,-29188081.76373657,2.5526105679819903e-14
2550.0,-29188081.76373561,5.832715147838848e-14
2560.0,-29188081.763735466,6.343237261435248e-14
2570.0,-29188081.7637352,7.236650960228943e-14
2580.0,-29188081.76373556,6.011397887597587e-14
2590.0,-29188081.76373577,5.28390387572272e-14
2600.0,-29188081.76373576,5.33495608708236e-14
2610.0,-29188081.763735272,6.994152956270655e-14
2620.0,-29188081.76373431,1.0287020588967421e-13
2630.0,-29188081.76373451,9.610578788452195e-14
2640.0,-29188081.763734054,1.116767123492121e-13
2650.0,-29188081.763733663,1.2495028730271846e-13
2660.0,-29188081.76373413,1.08996471252831e-13
2670.0,-29188081.7637344,9.980707320809582e-14
2680.0,-29188081.763734408,9.955181215129764e-14
2690.0,-29188081.76373357,1.2839631156949414e-13
2700.0,-29188081.76373331,1.37202818029032e-13
2710.0,-29188081.763733037,1.4664747713056537e-13
2720.0,-29188081.76373261,1.611973573680627e-13
2730.0,-29188081.76373265,1.599210520840717e-13
2740.0,-29188081.76373262,1.608144657828654e-13
2750.0,-29188081.76373203,1.8098008926992314e-13
2760.0,-29188081.763732005,1.8187350296871682e-13
2770.0,-29188081.763731405,2.0242201804097186e-13
2780.0,-29188081.763731197,2.096969581597205e-13
2790.0,-29188081.76373052,2.327980837999576e-13
2800.0,-29188081.76373116,2.1097326344371155e-13
2810.0,-29188081.763730984,2.1684426775007009e-13
2820.0,-29188081.76373076,2.245020994540161e-13
2830.0,-29188081.763730884,2.202902920168458e-13
2840.0,-29188081.763731293,2.0625093389294486e-13
2850.0,-29188081.76373124,2.081653918189313e-13
