time_s,energy_Jkg,dE_rel
21270.0,-29227143.40177223,-0.0013382735580604
21280.0,-29227161.799384568,-0.001338903870545
21290.0,-29227180.197026484,-0.001339534184043
21300.0,-29227198.59469713,-0.0013401644985253
21310.0,-29227216.99239633,-0.001340794813986
21320.0,-29227235.390123423,-0.0013414251304021
21330.0,-29227253.787878145,-0.0013420554477649
21340.0,-29227272.18565964,-0.0013426857660449
21350.0,-29227290.583468013,-0.0013433160852458
21360.0,-29227308.98130256,-0.0013439464053434
21370.0,-29227327.3791632,-0.001344576726335
21380.0,-29227345.777049333,-0.0013452070482
21390.0,-29227364.17496072,-0.0013458373709303
21400.0,-29227382.57289703,-0.0013464676945143
21410.0,-29227400.97085824,-0.0013470980189516
21420.0,-29227419.368843883,-0.0013477283442258
21430.0,-29227437.76685362,-0.0013483586703255
21440.0,-29227456.16488723,-0.0013489889972432
21450.0,-29227474.56294449,-0.0013496193249711
21460.0,-29227492.96102524,-0.0013502496535038
21470.0,-29227511.35912932,-0.0013508799828357
21480.0,-29227529.75725632,-0.0013515103129529
21490.0,-29227548.15540608,-0.00135214064385
21500.0,-29227566.553578183,-0.0013527709755125
21510.0,-29227584.951772697,-0.0013534013079428
21520.0,-29227603.34998934,-0.0013540316411312
21530.0,-29227621.748227905,-0.0013546619750707
21540.0,-29227640.146488283,-0.0013552923097576
21550.0,-29227658.54477022,-0.001355922645183
21560.0,-29227676.94307345,-0.0013565529813382
21570.0,-29227695.341398053,-0.0013571833182252
21580.0,-29227713.73974364,-0.0013578136558313
21590.0,-29227732.138110258,-0.001358443994158
21600.0,-29227750.536497463,-0.0013590743331902
21610.0,-29227768.934905168,-0.0013597046729244
21620.0,-29227787.333333503,-0.0013603350133656
21630.0,-29227805.73178229,-0.0013609653545075
21640.0,-29227824.13025112,-0.0013615956963358
21650.0,-29227842.52874013,-0.0013622260388558
21660.0,-29227860.927249044,-0.0013628563820576
21670.0,-29227879.325777803,-0.0013634867259393
21680.0,-29227897.724326447,-0.0013641170705023
21690.0,-29227916.12289469,-0.0013647474157367
21700.0,-29227934.521482702,-0.0013653777616486
21710.0,-29227952.92009001,-0.0013660081082215
21720.0,-29227971.31871686,-0.0013666384554638
21730.0,-29227989.71736302,-0.0013672688033677
21740.0,-29228008.11602829,-0.0013678991519264
21750.0,-29228026.514712635,-0.0013685295011386
21760.0,-29228044.91341631,-0.0013691598510131
21770.0,-29228063.312139027,-0.0013697902015399
21780.0,-29228081.71088064,-0.001370420552714
21790.0,-29228100.10964113,-0.0013710509045351
21800.0,-29228118.508420706,-0.0013716812570098
21810.0,-29228136.90721933,-0.0013723116101374
21820.0,-29228155.306036737,-0.0013729419639083
21830.0,-29228173.70487307,-0.0013735723183277
21840.0,-29228192.103728496,-0.0013742026734012
21850.0,-29228210.502602912,-0.0013748330291254
21860.0,-29228228.90149614,-0.0013754633854939
21870.0,-29228247.300408624,-0.0013760937425223
21880.0,-29228265.699340098,-0.0013767241002013
21890.0,-29228284.098290768,-0.0013773544585379
21900.0,-29228302.497260623,-0.001377984817532
21910.0,-29228320.896249924,-0.001378615177192
21920.0,-29228339.29525868,-0.0013792455375186
21930.0,-29228357.6942872,-0.0013798758985224
21940.0,-29228376.09333527,-0.0013805062601961
21950.0,-29228394.492403403,-0.0013811366225571
21960.0,-29228412.89149154,-0.0013817669856034
21970.0,-29228431.290599924,-0.0013823973493434
21980.0,-29228449.689729158,-0.0013830277137976
21990.0,-29228468.088878915,-0.0013836580789552
22000.0,-29228486.488049783,-0.0013842884448359
22010.0,-29228504.887241777,-0.0013849188114405
22020.0,-29228523.28645585,-0.0013855491788016
22030.0,-29228541.685691915,-0.0013861795469159
22040.0,-29228560.08495045,-0.0013868099158003
22050.0,-29228578.484231822,-0.0013874402854668
22060.0,-29228596.88353685,-0.0013880706559439
22070.0,-29228615.28286576,-0.0013887010272392
22080.0,-29228633.682219315,-0.001389331399379
22090.0,-29228652.081598427,-0.0013899617723942
22100.0,-29228670.48100365,-0.001390592146304
22110.0,-29228688.880435903,-0.00139122252114
22120.0,-29228707.279895764,-0.0013918528969218
22130.0,-29228725.67938423,-0.0013924832736837
22140.0,-29228744.07890309,-0.0013931136514869
22150.0,-29228762.47845309,-0.0013937440303568
22160.0,-29228780.87803576,-0.001394374410346
22170.0,-29228799.277652446,-0.0013950047915008
22180.0,-29228817.677304663,-0.0013956351738728
22190.0,-29228836.07699529,-0.001396265557561
22200.0,-29228854.47672605,-0.0013968959426238
22210.0,-29228872.87649948,-0.0013975263291487
22220.0,-29228891.27631813,-0.0013981567172227
22230.0,-29228909.676185533,-0.0013987871069671
22240.0,-29228928.076105397,-0.0013994174985088
22250.0,-29228946.476081982,-0.0014000478919939
22260.0,-29228964.87612047,-0.0014006782875998
22270.0,-29228983.276227243,-0.0014013086855452
22280.0,-29229001.67640898,-0.0014019390860589
22290.0,-29229020.07667457,-0.0014025694894454
22300.0,-29229038.47703392,-0.0014031998960441
22310.0,-29229056.877500296,-0.0014038303063097
22320.0,-29229075.278089616,-0.0014044607207875
22330.0,-29229093.678821716,-0.0014050911401567
22340.0,-29229112.079722542,-0.0014057215653069
22350.0,-29229130.480827224,-0.0014063519974412
22360.0,-29229148.88218286,-0.0014069824381733
22370.0,-29229167.28385705,-0.0014076128898194
22380.0,-29229185.685949657,-0.0014082433558004
22390.0,-29229204.088618964,-0.0014088738415396
22400.0,-29229222.49213809,-0.0014095043563942
22410.0,-29229240.897041406,-0.0014101349186717
22420.0,-29229259.304624707,-0.0014107655727671
22430.0,-29229277.71987404,-0.001411396489505
22440.0,-29229296.051791992,-0.0014120245512633
22450.0,-29229314.424629424,-0.0014126540149458
22460.0,-29229332.8136593,-0.0014132840333904
22470.0,-29229351.206453346,-0.0014139141807977
22480.0,-29229369.600979924,-0.0014145443875625
22490.0,-29229387.99650953,-0.0014151746286915
22500.0,-29229406.39269621,-0.0014158048923323
22510.0,-29229424.78934799,-0.0014164351719077
22520.0,-29229443.186347764,-0.0014170654634055
22530.0,-29229461.583618164,-0.0014176957641752
22540.0,-29229479.981105518,-0.0014183260723776
22550.0,-29229498.37877156,-0.0014189563867023
22560.0,-29229516.77658736,-0.0014195867061577
22570.0,-29229535.174531307,-0.0014202170300034
22580.0,-29229553.57258605,-0.001420847357645
22590.0,-29229571.97073837,-0.0014214776886298
22600.0,-29229590.368976757,-0.0014221080225631
22610.0,-29229608.767292712,-0.0014227383591542
22620.0,-29229627.165677857,-0.0014233686981156
22630.0,-29229645.56412625,-0.0014239990392438
22640.0,-29229663.962632667,-0.0014246293823602
22650.0,-29229682.36119257,-0.0014252597273089
22660.0,-29229700.75980187,-0.00142589007395
22670.0,-29229719.158457115,-0.0014265204221652
22680.0,-29229737.557155315,-0.0014271507718521
22690.0,-29229755.955894087,-0.001427781122929
22700.0,-29229774.354670867,-0.0014284114753081
22710.0,-29229792.75348424,-0.0014290418289407
22720.0,-29229811.15233169,-0.0014296721837412
22730.0,-29229829.551212307,-0.0014303025396776
22740.0,-29229847.950124186,-0.0014309328966853
22750.0,-29229866.349066216,-0.0014315632547259
22760.0,-29229884.74803724,-0.0014321936137599
22770.0,-29229903.14703623,-0.0014328239737519
22780.0,-29229921.54606209,-0.0014334543346645
22790.0,-29229939.9451144,-0.0014340846964834
22800.0,-29229958.34419232,-0.0014347150591797
22810.0,-29229976.74329488,-0.0014353454227201
22820.0,-29229995.142421488,-0.0014359757870846
22830.0,-29230013.54157142,-0.0014366061522481
22840.0,-29230031.9407446,-0.0014372365182079
22850.0,-29230050.33994032,-0.0014378668849401
22860.0,-29230068.7391582,-0.0014384972524317
22870.0,-29230087.138397746,-0.0014391276206652
22880.0,-29230105.53765893,-0.0014397579896402
22890.0,-29230123.93694101,-0.0014403883593312
22900.0,-29230142.336243995,-0.0014410187297383
22910.0,-29230160.735567536,-0.0014416491008498
22920.0,-29230179.134911373,-0.0014422794726565
22930.0,-29230197.53427528,-0.0014429098451509
22940.0,-29230215.933659308,-0.0014435402183346
22950.0,-29230234.3330631,-0.0014441705921954
22960.0,-29230252.732486628,-0.0014448009667324
22970.0,-29230271.131929543,-0.0014454313419337
22980.0,-29230289.531391744,-0.0014460617177956
22990.0,-29230307.93087336,-0.0014466920943226
23000.0,-29230326.33037445,-0.0014473224715169
23010.0,-29230344.72989418,-0.00144795284935
23020.0,-29230363.12943308,-0.0014485832278398
23030.0,-29230381.528991267,-0.0014492136069903
23040.0,-29230399.928568315,-0.0014498439867869
23050.0,-29230418.32816439,-0.0014504743672355
23060.0,-29230436.72777952,-0.0014511047483369
23070.0,-29230455.12741328,-0.0014517351300766
23080.0,-29230473.527066395,-0.0014523655124794
23090.0,-29230491.92673848,-0.0014529958955321
23100.0,-29230510.326429684,-0.0014536262792398
23110.0,-29230528.726140004,-0.0014542566636025
23120.0,-29230547.12586962,-0.0014548870486263
23130.0,-29230565.52561836,-0.0014555174343052
23140.0,-29230583.925386112,-0.0014561478206355
23150.0,-29230602.32517323,-0.0014567782076293
23160.0,-29230620.72497982,-0.0014574085952903
23170.0,-29230639.124806155,-0.0014580389836276
23180.0,-29230657.52465185,-0.0014586693726285
23190.0,-29230675.92451728,-0.0014592997623051
23200.0,-29230694.324402504,-0.0014599301526601
23210.0,-29230712.72430761,-0.0014605605436963
23220.0,-29230731.124232788,-0.0014611909354201
23230.0,-29230749.524178084,-0.0014618213278332
23240.0,-29230767.92414343,-0.0014624517209331
23250.0,-29230786.32412927,-0.0014630821147352
23260.0,-29230804.72413581,-0.0014637125092466
23270.0,-29230823.124162868,-0.0014643429044609
23280.0,-29230841.52421076,-0.0014649733003889
23290.0,-29230859.92427952,-0.0014656036970319
23300.0,-29230878.324369773,-0.0014662340944114
23310.0,-29230896.724481106,-0.0014668644925129
23320.0,-29230915.124613818,-0.001467494891347
23330.0,-29230933.524768505,-0.0014681252909339
23340.0,-29230951.92494483,-0.0014687556912622
23350.0,-29230970.32514331,-0.0014693860923495
23360.0,-29230988.72536397,-0.0014700164941967
23370.0,-29231007.12560711,-0.0014706468968141
23380.0,-29231025.525873177,-0.0014712773002169
23390.0,-29231043.926161885,-0.0014719077043955
23400.0,-29231062.326473832,-0.0014725381093702
23410.0,-29231080.72680911,-0.0014731685151443
23420.0,-29231099.12716788,-0.0014737989217232
23430.0,-29231117.527550757,-0.0014744293291279
23440.0,-29231135.927957524,-0.0014750597373514
23450.0,-29231154.32838889,-0.0014756901464176
23460.0,-29231172.72884465,-0.0014763205563193
23470.0,-29231191.129325736,-0.0014769509670889
23480.0,-29231209.529832024,-0.0014775813787219
23490.0,-29231227.930364028,-0.0014782117912359
23500.0,-29231246.33092195,-0.0014788422046379
23510.0,-29231264.731506195,-0.0014794726189417
23520.0,-29231283.132117216,-0.0014801030341628
23530.0,-29231301.53275556,-0.0014807334503202
23540.0,-29231319.93342125,-0.0014813638674143
23550.0,-29231338.334115177,-0.0014819942854759
23560.0,-29231356.734837584,-0.0014826247045132
23570.0,-29231375.13558919,-0.0014832551245509
23580.0,-29231393.53637001,-0.0014838855455895
23590.0,-29231411.937181365,-0.0014845159676743
23600.0,-29231430.338023555,-0.0014851463908154
23610.0,-29231448.73889752,-0.0014857768150451
23620.0,-29231467.139803607,-0.0014864072403755
23630.0,-29231485.54074334,-0.0014870376668586
23640.0,-29231503.9417174,-0.0014876680945176
23650.0,-29231522.342727188,-0.0014882985234008
23660.0,-29231540.743773703,-0.0014889289535423
23670.0,-29231559.144858327,-0.0014895593849894
23680.0,-29231577.545982894,-0.0014901898178049
23690.0,-29231595.947149627,-0.0014908202520651
23700.0,-29231614.34836089,-0.001491450687851
23710.0,-29231632.749619342,-0.0014920811252535
23720.0,-29231651.15092895,-0.0014927115644087
23730.0,-29231669.55229383,-0.0014933420054574
23740.0,-29231687.953720145,-0.001493972448611
23750.0,-29231706.35521522,-0.0014946028941205
23760.0,-29231724.7567894,-0.0014952333423399
23770.0,-29231743.15845738,-0.0014958637937731
23780.0,-29231761.56024013,-0.0014964942491386
23790.0,-29231779.96217149,-0.0014971247095953
23800.0,-29231798.364308126,-0.0014977551770848
23810.0,-29231816.766760748,-0.0014983856554002
23820.0,-29231835.16979091,-0.0014990161535025
23830.0,-29231853.574354205,-0.0014996467041308
23840.0,-29231871.98240782,-0.0015002773743394
23850.0,-29231890.3787875,-0.0015009076445925
23860.0,-29231908.77842317,-0.0015015380263978
23870.0,-29231927.178749427,-0.0015021684318627
23880.0,-29231945.579400737,-0.0015027988484642
23890.0,-29231963.98025082,-0.0015034292718758
23900.0,-29231982.38124014,-0.0015040597000577
23910.0,-29232000.78233636,-0.0015046901319021
23920.0,-29232019.18351993,-0.0015053205667389
23930.0,-29232037.58477759,-0.0015059510041145
23940.0,-29232055.986101136,-0.0015065814437471
23950.0,-29232074.387483794,-0.0015072118854051
23960.0,-29232092.788921047,-0.0015078423289334
23970.0,-29232111.19040948,-0.0015084727742151
23980.0,-29232129.591946464,-0.0015091032211604
23990.0,-29232147.99353013,-0.0015097336697049
24000.0,-29232166.39515834,-0.0015103641197756
24010.0,-29232184.79683029,-0.0015109945713448
24020.0,-29232203.198544554,-0.0015116250243637
24030.0,-29232221.60030038,-0.0015122554788065
24040.0,-29232240.002096817,-0.0015128859346407
24050.0,-29232258.40393356,-0.0015135163918558
24060.0,-29232276.80581016,-0.0015141468504364
24070.0,-29232295.207726102,-0.001514777310365
24080.0,-29232313.60968108,-0.0015154077716308
24090.0,-29232332.011675023,-0.0015160382342317
24100.0,-29232350.413707536,-0.001516668698154
24110.0,-29232368.81577852,-0.0015172991633944
24120.0,-29232387.21788788,-0.0015179296299494
24130.0,-29232405.62003533,-0.0015185600978096
24140.0,-29232424.022221114,-0.001519190566983
24150.0,-29232442.42444489,-0.0015198210374583
24160.0,-29232460.82670683,-0.0015204515092407
24170.0,-29232479.22900678,-0.0015210819823255
24180.0,-29232497.631344907,-0.0015217124567183
24190.0,-29232516.033721205,-0.0015223429324189
24200.0,-29232534.43613552,-0.0015229734094218
24210.0,-29232552.838588007,-0.0015236038877328
24220.0,-29232571.241078574,-0.0015242343673484
24230.0,-29232589.643607706,-0.0015248648482849
24240.0,-29232608.04617497,-0.001525495330528
24250.0,-29232626.448780872,-0.0015261258140951
24260.0,-29232644.851425298,-0.0015267562989818
24270.0,-29232663.254108228,-0.0015273867851878
24280.0,-29232681.65682982,-0.0015280172727183
24290.0,-29232700.05958996,-0.0015286477615695
24300.0,-29232718.462388907,-0.0015292782517503
24310.0,-29232736.86522697,-0.0015299087432711
24320.0,-29232755.26810392,-0.0015305392361243
24330.0,-29232773.67101984,-0.0015311697303126
24340.0,-29232792.073974863,-0.0015318002258408
24350.0,-29232810.47696913,-0.0015324307227132
24360.0,-29232828.880002603,-0.0015330612209289
24370.0,-29232847.28307557,-0.0015336917204979
24380.0,-29232865.686188158,-0.0015343222214239
24390.0,-29232884.08934027,-0.0015349527237044
24400.0,-29232902.492532317,-0.0015355832273528
24410.0,-29232920.89576391,-0.0015362137323565
24420.0,-29232939.299035583,-0.001536844238733
24430.0,-29232957.702347063,-0.0015374747464734
24440.0,-29232976.105698764,-0.0015381052555919
24450.0,-29232994.509090472,-0.0015387357660809
24460.0,-29233012.91252232,-0.0015393662779452
24470.0,-29233031.315994184,-0.0015399967911805
24480.0,-29233049.71950652,-0.0015406273058022
24490.0,-29233068.123059448,-0.0015412578218149
24500.0,-29233086.5266527,-0.001541888339209
24510.0,-29233104.930286538,-0.0015425188579936
24520.0,-29233123.333961047,-0.0015431493781716
24530.0,-29233141.73767606,-0.0015437798997373
24540.0,-29233160.14143164,-0.0015444104226927
24550.0,-29233178.54522797,-0.0015450409470446
24560.0,-29233196.94906493,-0.0015456714727881
24570.0,-29233215.3529426,-0.0015463019999264
24580.0,-29233233.756861333,-0.0015469325284717
24590.0,-29233252.1608209,-0.001547563058416
24600.0,-29233270.56482145,-0.0015481935897643
24610.0,-29233288.968862776,-0.0015488241225097
24620.0,-29233307.372944675,-0.0015494546566451
24630.0,-29233325.777067523,-0.0015500851921834
24640.0,-29233344.18123115,-0.0015507157291188
24650.0,-29233362.585435748,-0.001551346267458
24660.0,-29233380.989681285,-0.0015519768071997
24670.0,-29233399.393967405,-0.0015526073483319
24680.0,-29233417.79829401,-0.0015532378908511
24690.0,-29233436.20266125,-0.0015538684347623
24700.0,-29233454.607068945,-0.0015544989800597
24710.0,-29233473.01151724,-0.0015551295267481
24720.0,-29233491.416006003,-0.0015557600748229
24730.0,-29233509.82053495,-0.0015563906242743
24740.0,-29233528.22510376,-0.0015570211750917
24750.0,-29233546.629712336,-0.0015576517272713
24760.0,-29233565.03436089,-0.0015582822808205
24770.0,-29233583.439049102,-0.0015589128357287
24780.0,-29233601.843776867,-0.0015595433919918
24790.0,-29233620.248543814,-0.0015601739495973
24800.0,-29233638.653349586,-0.001560804508533
24810.0,-29233657.058194008,-0.0015614350687929
24820.0,-29233675.46307648,-0.0015620656303562
24830.0,-29233693.86799716,-0.0015626961932288
24840.0,-29233712.272955388,-0.0015633267573878
24850.0,-29233730.67795077,-0.0015639573228195
24860.0,-29233749.082982875,-0.0015645878895096
24870.0,-29233767.488051243,-0.001565218457442
24880.0,-29233785.89315547,-0.001565849026603
