time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
1860.0,-0.0009765625,-40882822687.66411,32403325977.232925,52166854661.72751,-3044924.360305786,-5.836553998501041e-05
1870.0,-0.00101470947265625,-40882809857.25876,32403315807.979115,52166838290.01335,-3061296.0744628906,-5.867935531314016e-05
1880.0,-0.000972747802734375,-40882797022.46176,32403305635.244366,52166821912.695305,-3077673.3925094604,-5.8993278057414275e-05
1890.0,-0.001068115234375,-40882784181.79474,32403295457.857185,52166805527.88712,-3094058.200691223,-5.930734437365714e-05
1900.0,-0.00098419189453125,-40882771342.19261,32403285281.313915,52166789144.437675,-3110441.650138855,-5.9621384645492375e-05
1910.0,-0.0009479522705078125,-40882758517.98283,32403275116.970535,52166772780.62904,-3126805.458770752,-5.9935048439398944e-05
1920.0,-0.0008640289306640625,-40882745683.03087,32403264944.1129,52166756403.11323,-3143182.974586487,-6.0248974974540335e-05
1930.0,-0.000812530517578125,-40882732842.09993,32403254766.516293,52166740017.968124,-3159568.1196899414,-6.056304774894575e-05
1940.0,-0.000835418701171875,-40882720005.297966,32403244592.19246,52166723638.09175,-3175947.9960632324,-6.087701953158761e-05
1950.0,-0.0008602142333984375,-40882707176.73379,32403234424.397766,52166707268.72683,-3192317.3609848022,-6.1190789829239e-05
1960.0,-0.00087738037109375,-40882694349.26139,32403224257.46847,52166690900.75507,-3208685.3327407837,-6.150453342249572e-05
1970.0,-0.0008563995361328125,-40882681513.778175,32403214084.189766,52166674522.56138,-3225063.526435852,-6.181847295132387e-05
1980.0,-0.0008258819580078125,-40882668680.88286,32403203912.96225,52166658147.66988,-3241438.417930603,-6.213234918311017e-05
1990.0,-0.000843048095703125,-40882655854.626335,32403193746.996643,52166641781.24959,-3257804.8382263184,-6.24460630377575e-05
2000.0,-0.000850677490234375,-40882643027.016174,32403183579.958084,52166625413.102,-3274172.9858169556,-6.275981000143772e-05
2010.0,-0.0008525848388671875,-40882630190.70969,32403173406.026936,52166609033.85784,-3290552.2299728394,-6.307376966564708e-05
2020.0,-0.0008449554443359375,-40882617360.05403,32403163236.574585,52166592661.824196,-3306924.2636184692,-6.338759111777798e-05
2030.0,-0.00086212158203125,-40882604523.44528,32403153062.403843,52166576282.19433,-3323303.893486023,-6.370155817536307e-05
2040.0,-0.000873565673828125,-40882591692.36621,32403142892.615944,52166559909.62044,-3339676.467376709,-6.401538998298749e-05
2050.0,-0.0008640289306640625,-40882578869.142136,32403132729.053814,52166543547.06957,-3356039.0182418823,-6.432902966784395e-05
2060.0,-0.000804901123046875,-40882566039.64344,32403122560.518364,52166527176.51215,-3372409.5756607056,-6.464282282345103e-05
2070.0,-0.0007686614990234375,-40882553214.06613,32403112395.09104,52166510810.95851,-3388775.1293029785,-6.495652006596282e-05
2080.0,-0.0007801055908203125,-40882540381.910484,32403102224.449837,52166494437.01088,-3405149.0769348145,-6.527037820565152e-05
2090.0,-0.000736236572265625,-40882527553.904816,32403092057.097878,52166478068.358665,-3421517.7291488647,-6.558413484202456e-05
2100.0,-0.0008106231689453125,-40882514723.056076,32403081887.492363,52166461696.07857,-3437890.009246826,-6.589796101818855e-05
2110.0,-0.0007419586181640625,-40882501885.87419,32403071712.867393,52166445315.7174,-3454270.370414734,-6.621194209344207e-05
2120.0,-0.0008087158203125,-40882489056.85245,32403061544.70993,52166428945.76856,-3470640.319252014,-6.652572358367223e-05
2130.0,-0.0008068084716796875,-40882476228.57652,32403051377.143684,52166412576.77145,-3487009.316368103,-6.683948683117623e-05
2140.0,-0.000743865966796875,-40882463387.632545,32403041199.536873,52166396191.60978,-3503394.478034973,-6.715355992307154e-05
2150.0,-0.00069427490234375,-40882450562.915665,32403031034.791504,52166379827.154045,-3519758.933769226,-6.746723612072742e-05
2160.0,-0.0006999969482421875,-40882437724.475174,32403020859.169033,52166363445.18692,-3536140.900894165,-6.778124797919201e-05
2170.0,-0.0006580352783203125,-40882424896.3131,32403010691.692993,52166347076.33506,-3552509.7527542114,-6.809500844240769e-05
2180.0,-0.0006389617919921875,-40882412072.4619,32403000527.63378,52166330712.98396,-3568873.1038513184,-6.840866346622281e-05
2190.0,-0.0006275177001953125,-40882399241.33105,32402990357.804764,52166314340.34394,-3585245.743873596,-6.872249654146692e-05
2200.0,-0.0006084442138671875,-40882386406.88746,32402980185.35018,52166297963.47689,-3601622.610923767,-6.90364106409784e-05
