time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
1200.0,-0.0007228851318359,-40883668184.50489,32403996109.77148,52167933523.40864,-1966062.6791687012,-3.768576697995012e-05
1210.0,-0.0007362365722656,-40883655342.95356,32403985931.68321,52167917137.47194,-1982448.6158676147,-3.799985492776904e-05
1220.0,-0.0007104873657226,-40883642501.38716,32403975753.583164,52167900751.51612,-1998834.571685791,-3.831394324206869e-05
1230.0,-0.0006980895996093,-40883629659.80488,32403965575.470448,52167884365.53998,-2015220.5478286743,-3.862803194595519e-05
1240.0,-0.0006828308105468,-40883616818.2058,32403955397.344406,52167867979.5424,-2031606.5454101562,-3.8942121060779776e-05
1250.0,-0.0006709098815917,-40883603976.58885,32403945219.204323,52167851593.5221,-2047992.5657043457,-3.925621061096475e-05
1260.0,-0.0006632804870605,-40883591134.95249,32403935041.048702,52167835207.47694,-2064378.6108703613,-3.9570300637896396e-05
1270.0,-0.0006651878356933,-40883578293.29493,32403924862.87628,52167818821.40471,-2080764.6830978394,-3.988439118354598e-05
1280.0,-0.0006823539733886,-40883565451.61394,32403914684.68527,52167802435.30258,-2097150.7852249146,-4.0198482302315256e-05
1290.0,-0.0006728172302246,-40883552609.907074,32403904506.47388,52167786049.16752,-2113536.920288086,-4.051257405240827e-05
1300.0,-0.0006814002990722,-40883539768.17104,32403894328.239185,52167769662.995125,-2129923.0926818848,-4.082666651806003e-05
1310.0,-0.0007128715515136,-40883526926.40116,32403884149.97761,52167753276.77951,-2146309.3082962036,-4.114075981216881e-05
1320.0,-0.0007290840148925,-40883514084.59198,32403873971.68501,52167736890.51382,-2162695.573989868,-4.145485406620557e-05
1330.0,-0.000720739364624,-40883501242.73478,32403863793.354515,52167720504.18696,-2179081.9008483887,-4.176894949265891e-05
1340.0,-0.0007226467132568,-40883488400.81835,32403853614.97689,52167704117.7844,-2195468.3034057617,-4.208304637011855e-05
1350.0,-0.000727891921997,-40883475558.82492,32403843436.53842,52167687731.28371,-2211854.8041000366,-4.239714512868018e-05
1360.0,-0.0007274150848388,-40883462716.72592,32403833258.016243,52167671344.648285,-2228241.4395217896,-4.2711246469717125e-05
1370.0,-0.0007208585739135,-40883449874.47015,32403823079.369995,52167654957.81294,-2244628.274864197,-4.302535164286139e-05
1380.0,-0.0007202625274658,-40883437031.95195,32403812900.51545,52167638570.64254,-2261015.4452667236,-4.333946323848533e-05
1390.0,-0.0007203817367553,-40883424188.88504,32403802721.22603,52167622182.772,-2277403.315803528,-4.3653588254381936e-05
1400.0,-0.0007199943065643,-40883411343.72267,32403792540.27581,52167605792.22767,-2293793.8601379395,-4.396776452200854e-05
1410.0,-0.0007199943065643,-40883398502.05475,32403782362.09526,52167589406.14228,-2310179.945526123,-4.428185531992438e-05
1420.0,-0.0007215738296508,-40883385662.42657,32403772185.531277,52167573022.659546,-2326563.428260803,-4.4595896229810454e-05
1430.0,-0.0007200241088867,-40883372821.81973,32403762008.191483,52167556637.92796,-2342948.159843445,-4.490996107779055e-05
1440.0,-0.0007152557373046,-40883359980.884514,32403751830.591385,52167540252.777336,-2359333.310470581,-4.522403395807468e-05
1450.0,-0.0007112026214599,-40883347139.77898,32403741652.85653,52167523867.40954,-2375718.6782684326,-4.553811100111773e-05
1460.0,-0.0007083415985107,-40883334298.56728,32403731475.037525,52167507481.906265,-2392104.181541443,-4.5852190640967755e-05
1470.0,-0.0007209777832031,-40883321457.28152,32403721297.16001,52167491096.3086,-2408489.7792053223,-4.616627209011528e-05
1480.0,-0.0007185935974121,-40883308615.94036,32403711119.2384,52167474710.64013,-2424875.4476776123,-4.648035489652842e-05
1490.0,-0.0007214546203613,-40883295774.55528,32403700941.282013,52167458324.91565,-2441261.1721572876,-4.679443877649902e-05
1500.0,-0.0006971359252929,-40883282933.13402,32403690763.2967,52167441939.14484,-2457646.942970276,-4.710852354459311e-05
1510.0,-0.0007181167602539,-40883270091.68154,32403680585.287,52167425553.33441,-2474032.7533950806,-4.742260907197209e-05
1520.0,-0.0007209777832031,-40883257250.20272,32403670407.25628,52167409167.49029,-2490418.597518921,-4.773669524529894e-05
1530.0,-0.000732421875,-40883244408.70011,32403660229.206768,52167392781.61585,-2506804.4719543457,-4.805078199964252e-05
1540.0,-0.0007357597351074,-40883231567.17592,32403650051.14012,52167376395.71385,-2523190.373954773,-4.8364869282355956e-05
1550.0,-0.000732421875,-40883218725.63197,32403639873.0578,52167360009.78664,-2539576.301170349,-4.867895704839693e-05
1560.0,-0.000732421875,-40883205884.06984,32403629694.960995,52167343623.836174,-2555962.2516326904,-4.899304526003518e-05
1570.0,-0.0007410049438476,-40883193042.49037,32403619516.850563,52167327237.863655,-2572348.2241516113,-4.930713389445706e-05
1580.0,-0.0007171630859375,-40883180200.894806,32403609338.727165,52167310851.87048,-2588734.217323303,-4.962122292475417e-05
1590.0,-0.0006904602050781,-40883167359.28376,32403599160.591656,52167294465.85764,-2605120.230163574,-4.993531233206138e-05
1600.0,-0.000711441040039,-40883154517.65781,32403588982.44441,52167278079.82584,-2621506.2619628906,-5.0249402102778245e-05
1610.0,-0.0007143020629882,-40883141676.01782,32403578804.285988,52167261693.776085,-2637892.3117218018,-5.056349221774716e-05
1620.0,-0.0006942749023437,-40883128834.36411,32403568626.11667,52167245307.70881,-2654278.3789978027,-5.087758266848613e-05
1630.0,-0.0007390975952148,-40883115992.69706,32403558447.93688,52167228921.62457,-2670664.4632339478,-5.1191673444319534e-05
1640.0,-0.0007667541503906,-40883103151.01707,32403548269.7468,52167212535.5238,-2687050.5640029907,-5.150576453705786e-05
1650.0,-0.0007743835449218,-40883090309.32439,32403538091.546577,52167196149.4068,-2703436.6810073853,-5.181985594099769e-05
1660.0,-0.0007572174072265,-40883077467.61924,32403527913.336456,52167179763.27387,-2719822.813934326,-5.213394765014314e-05
1670.0,-0.000772476196289,-40883064625.90179,32403517735.11681,52167163377.12538,-2736208.962425232,-5.244803965762087e-05
1680.0,-0.0007848739624023,-40883051784.17248,32403507556.88753,52167146990.96162,-2752595.1261901855,-5.2762131957873706e-05
1690.0,-0.0007476806640625,-40883038942.43125,32403497378.64887,52167130604.782684,-2768981.3051223755,-5.307622454885426e-05
1700.0,-0.0007410049438476,-40883026100.67853,32403487200.40107,52167114218.58907,-2785367.4987335205,-5.339031742120311e-05
1710.0,-0.0007486343383789,-40883013258.914215,32403477022.144157,52167097832.38071,-2801753.7070999146,-5.3704410576382645e-05
1720.0,-0.0008182525634765,-40883000417.13858,32403466843.87827,52167081446.1579,-2818139.9299087524,-5.4018504008396985e-05
1730.0,-0.0008449554443359,-40882987575.35172,32403456665.603497,52167065059.92077,-2834526.167037964,-5.433259771490627e-05
1740.0,-0.0008220672607421,-40882974733.55367,32403446487.319675,52167048673.66926,-2850912.418548584,-5.464669169708042e-05
1750.0,-0.0008106231689453,-40882961891.74439,32403436309.027016,52167032287.40345,-2867298.6843566895,-5.49607859533108e-05
1760.0,-0.0007896423339843,-40882949049.92401,32403426130.725533,52167015901.12347,-2883684.96434021,-5.5274880481257524e-05
1770.0,-0.0008392333984375,-40882936208.09277,32403415952.415623,52166999514.82974,-2900071.25806427,-5.5588975272584856e-05
1780.0,-0.0008392333984375,-40882923366.25061,32403405774.096897,52166983128.52197,-2916457.5658340454,-5.5903070333142444e-05
1790.0,-0.0008373260498046,-40882910524.39788,32403395595.76989,52166966742.20078,-2932843.887023926,-5.6217165650938496e-05
1800.0,-0.00091552734375,-40882897682.534,32403385417.43405,52166950355.86536,-2949230.2224502563,-5.6531261241620836e-05
1810.0,-0.000946044921875,-40882884840.65955,32403375239.08986,52166933969.51648,-2965616.5713272095,-5.68453570901266e-05
1820.0,-0.0010528564453125,-40882871998.774414,32403365060.73721,52166917583.15396,-2982002.93384552,-5.715945320011184e-05
1830.0,-0.0010452270507812,-40882859156.87875,32403354882.376137,52166901196.77797,-2998389.3098373413,-5.747354956835923e-05
1840.0,-0.0009841918945312,-40882846314.97247,32403344704.006588,52166884810.38838,-3014775.6994247437,-5.778764619720864e-05
1850.0,-0.0009536743164062,-40882833473.0556,32403334525.62862,52166868423.98527,-3031162.1025390625,-5.810174308534389e-05
1860.0,-0.0009040832519531,-40882820631.128265,32403324347.24247,52166852037.56887,-3047548.518936157,-5.841584022808527e-05
1870.0,-0.0009307861328125,-40882807789.19027,32403314168.84794,52166835651.13892,-3063934.9488830566,-5.872993763055122e-05
1880.0,-0.0008888244628906,-40882794947.24185,32403303990.44512,52166819264.69564,-3080321.3921661377,-5.9044035288646977e-05
1890.0,-0.000864028930664,-40882782105.2831,32403293812.03398,52166802878.23911,-3096707.8486938477,-5.935813320061765e-05
1900.0,-0.0008449554443359,-40882769263.31379,32403283633.61451,52166786491.76912,-3113094.318687439,-5.967223137070424e-05
1910.0,-0.0007801055908203,-40882756421.33398,32403273455.18678,52166770105.28577,-3129480.8020401,-5.998632979685937e-05
1920.0,-0.0007610321044921,-40882743579.3439,32403263276.7509,52166753718.789314,-3145867.2984924316,-6.030042847411082e-05
1930.0,-0.000762939453125,-40882730737.34351,32403253098.30685,52166737332.2797,-3162253.8081054688,-6.061452740362854e-05
1940.0,-0.0007610321044921,-40882717895.33267,32403242919.85448,52166720945.75673,-3178640.3310775757,-6.0928626589214796e-05
1950.0,-0.000762939453125,-40882705053.31175,32403232741.39408,52166704559.22086,-3195026.8669433594,-6.124272602194887e-05
1960.0,-0.000701904296875,-40882692211.2804,32403222562.925503,52166688172.67175,-3211413.416053772,-6.155682570855786e-05
1970.0,-0.0006637573242187,-40882679369.2388,32403212384.448624,52166671786.10946,-3227799.9783477783,-6.187092564787183e-05
1980.0,-0.00067138671875,-40882666527.186966,32403202205.963867,52166655399.53424,-3244186.553565979,-6.21850258349186e-05
1990.0,-0.0006656646728515,-40882653685.12495,32403192027.470848,52166639012.94592,-3260573.14188385,-6.249912627306168e-05
2000.0,-0.0006618499755859,-40882640843.05267,32403181848.96987,52166622626.344604,-3276959.7432022095,-6.281322696039996e-05
2010.0,-0.0006618499755859,-40882628000.97024,32403171670.46077,52166606239.730286,-3293346.357521057,-6.312732789693344e-05
2020.0,-0.0006523132324218,-40882615158.87767,32403161491.943577,52166589853.103004,-3309732.984802246,-6.34414290819309e-05
2030.0,-0.0006790161132812,-40882602316.775055,32403151313.418472,52166573466.46293,-3326119.6248779297,-6.375553051217504e-05
2040.0,-0.0007400512695312,-40882589474.66225,32403141134.885315,52166557079.80987,-3342506.277938843,-6.40696321913219e-05
2050.0,-0.0007343292236328,-40882576632.53937,32403130956.34417,52166540693.14394,-3358892.943862915,-6.438373411703162e-05
2060.0,-0.0007686614990234,-40882563790.406494,32403120777.795174,52166524306.465324,-3375279.6224823,-6.469783628608687e-05
2070.0,-0.0007991790771484,-40882550948.263626,32403110599.23814,52166507919.77387,-3391666.313934326,-6.501193870112e-05
2080.0,-0.0008468627929687,-40882538106.11084,32403100420.67327,52166491533.06978,-3408053.0180282593,-6.532604135847499e-05
2090.0,-0.0007991790771484,-40882525263.94799,32403090242.10045,52166475146.35287,-3424439.734939575,-6.564014426151539e-05
2100.0,-0.0007667541503906,-40882512421.7753,32403080063.519817,52166458759.62338,-3440826.4644241333,-6.595424740556145e-05
2110.0,-0.0006771087646484,-40882499579.59283,32403069884.93129,52166442372.881325,-3457213.2064819336,-6.626835079061321e-05
