time_s,energy_Jkg,dE_abs,dE_rel
1330.0,-29190518.050219025,-2436.2864817120135,-8.346853696767449e-05
1340.0,-29190536.36404114,-2454.600303824991,-8.4095978752346e-05
1350.0,-29190554.697477836,-2472.9337405227125,-8.472409254365717e-05
1360.0,-29190573.03092142,-2491.2671841047704,-8.535220657082957e-05
1370.0,-29190591.36581036,-2509.60207304731,-8.598037011686013e-05
1380.0,-29190609.691649932,-2527.927912618965,-8.660822362638479e-05
1390.0,-29190628.026083097,-2546.2623457834125,-8.723637155720311e-05
1400.0,-29190646.35681922,-2564.593081906438,-8.786439282531532e-05
1410.0,-29190664.666778218,-2582.9030409045517,-8.849170225751179e-05
1420.0,-29190682.989105128,-2601.2253678143024,-8.91194354212757e-05
1430.0,-29190701.300730206,-2619.536992892623,-8.974680193431152e-05
1440.0,-29190719.626283076,-2637.862545762211,-9.037464562126307e-05
1450.0,-29190737.95173002,-2656.187992706895,-9.100248567916818e-05
1460.0,-29190756.278667722,-2674.514930408448,-9.16303768112371e-05
1470.0,-29190774.59836442,-2692.834627106786,-9.225801986248748e-05
1480.0,-29190792.921636574,-2711.157899260521,-9.288578541083879e-05
1490.0,-29190811.23415499,-2729.470417678356,-9.351318253018584e-05
1500.0,-29190829.556251884,-2747.7925145700574,-9.414090781340278e-05
1510.0,-29190847.871667743,-2766.10793042928,-9.47684042007117e-05
1520.0,-29190866.198009863,-2784.4342725500464,-9.539627492784989e-05
1530.0,-29190884.524041973,-2802.760304659605,-9.602413503383077e-05
1540.0,-29190902.858522296,-2821.0947849825025,-9.665228458032394e-05
1550.0,-29190921.18719641,-2839.423459097743,-9.72802352028966e-05
1560.0,-29190939.505021095,-2857.7412837818265,-9.790781411789201e-05
1570.0,-29190957.820472747,-2876.056735433638,-9.853531173147504e-05
1580.0,-29190976.134314787,-2894.3705774731934,-9.916275419884225e-05
1590.0,-29190994.44604529,-2912.6823079772294,-9.979012432382203e-05
1600.0,-29191012.77294281,-2931.0092054978013,-0.00010041801407926808
1610.0,-29191031.097909834,-2949.3341725207865,-0.00010104583769478747
1620.0,-29191049.40983218,-2967.646094866097,-0.00010167321439235657
1630.0,-29191067.727819514,-2985.96408220008,-0.00010230079887982848
1640.0,-29191086.04493268,-3004.2811953648925,-0.00010292835341777585
1650.0,-29191104.3551198,-3022.591382484883,-0.00010355567066555535
1660.0,-29191122.678738553,-3040.9150012396276,-0.00010418344808865101
1670.0,-29191140.99393209,-3059.2301947772503,-0.00010481093685909762
1680.0,-29191159.307845544,-3077.5441082306206,-0.00010543838177314206
1690.0,-29191177.62739762,-3095.8636603057384,-0.00010606601986952008
1700.0,-29191195.94168503,-3114.177947714925,-0.00010669347759549985
1710.0,-29191214.253693476,-3132.48995616287,-0.00010732085724299336
1720.0,-29191232.58053072,-3150.816793408245,-0.00010794874493337744
1730.0,-29191250.913595807,-3169.149858493358,-0.00010857684599303288
1740.0,-29191269.22768925,-3187.4639519378543,-0.00010920429707367394
1750.0,-29191287.541285135,-3205.7775478214025,-0.00010983173110759872
1760.0,-29191305.855058085,-3224.091320771724,-0.00011045917120793016
1770.0,-29191324.177622437,-3242.4138851240277,-0.0001110869125066087
1780.0,-29191342.496553652,-3260.732816338539,-0.00011171452933195522
1790.0,-29191360.812026627,-3279.0482893139124,-0.00011234202767609539
1800.0,-29191379.12783975,-3297.3641024380922,-0.00011296953767392385
1810.0,-29191397.442018133,-3315.6782808192074,-0.00011359699166454096
1820.0,-29191415.763185784,-3333.9994484707713,-0.00011422468511147127
1830.0,-29191434.091830462,-3352.328093148768,-0.00011485263472550748
1840.0,-29191452.414089493,-3370.650352180004,-0.00011548036556371554
1850.0,-29191470.735417582,-3388.9716802686453,-0.00011610806450730982
1860.0,-29191489.06457145,-3407.3008341379464,-0.00011673603156652481
1870.0,-29191507.386117347,-3425.6223800331354,-0.0001173637379722932
1880.0,-29191525.71395826,-3443.9502209462225,-0.00011799166004889425
1890.0,-29191544.050205227,-3462.286467913538,-0.0001186198701216129
1900.0,-29191562.38495559,-3480.621218275279,-0.00011924802891978782
1910.0,-29191580.697749954,-3498.9340126402676,-0.00011987543549323865
1920.0,-29191599.025908247,-3517.262170933187,-0.0001205033684434502
1930.0,-29191617.362628866,-3535.5988915525377,-0.00012113159474375239
1940.0,-29191635.693477668,-3553.9297403544188,-0.0001217596198723052
1950.0,-29191654.012587562,-3572.248850248754,-0.00012238724281932238
1960.0,-29191672.330163028,-3590.566425714642,-0.00012301481319596305
1970.0,-29191690.65920278,-3608.895465467125,-0.0001236427763454721
1980.0,-29191708.98457192,-3627.220834605396,-0.00012427061373768597
1990.0,-29191727.300485827,-3645.5367485135794,-0.00012489812718843076
2000.0,-29191745.618357908,-3663.8546205945313,-0.00012552570772726937
2010.0,-29191763.948673625,-3682.184936311096,-0.0001261537145920212
2020.0,-29191782.27094528,-3700.507207967341,-0.00012678144586276911
2030.0,-29191800.601743527,-3718.8380062133074,-0.00012740946925924804
2040.0,-29191818.924670864,-3737.160933550447,-0.00012803722299399
2050.0,-29191837.236406904,-3755.4726695902646,-0.00012866459330862875
2060.0,-29191855.557129066,-3773.793391752988,-0.0001292922714928623
2070.0,-29191873.872277282,-3792.108539968729,-0.0001299197587105559
2080.0,-29191892.196845476,-3810.433108162135,-0.00013054756866195092
2090.0,-29191910.51551354,-3828.751776225865,-0.00013117517647160456
2100.0,-29191928.838267934,-3847.074530620128,-0.00013180292428122687
2110.0,-29191947.17009245,-3865.406355135143,-0.00013243098283825715
2120.0,-29191965.490290634,-3883.7265533208847,-0.0001330586430707464
2130.0,-29191983.80945024,-3902.0457129254937,-0.00013368626772086533
2140.0,-29192002.14672685,-3920.382989536971,-0.00013431451306976863
2150.0,-29192020.46085739,-3938.697120077908,-0.00013494196542135448
2160.0,-29192038.794612497,-3957.030875183642,-0.00013557009012150217
2170.0,-29192057.113716695,-3975.3499793820083,-0.0001361977128733723
2180.0,-29192075.426691785,-3993.6629544720054,-0.00013682512563856293
2190.0,-29192093.750089645,-4011.9863523319364,-0.0001374528954936788
2200.0,-29192112.07824539,-4030.314508076757,-0.00013808082835659104
2210.0,-29192130.392707106,-4048.6289697922766,-0.00013870829205440323
