time_s,x_num_m,y_num_m,z_num_m,x_ana_m,y_ana_m,z_ana_m,error_m,rel_error
1070.0,2491466.4777639364,3948861.2010216136,-4982222.887026808,2491466.477763935,3948861.2010216117,-4982222.887026805,3.636930918277546e-09,5.32638832272631e-16
1080.0,2420175.490683042,3965930.3442850243,-5003758.786087252,2420175.4906830415,3965930.3442850243,-5003758.786087252,4.656612873077393e-10,6.819741421528878e-17
1090.0,2348581.482115811,3982502.927645131,-5024668.182470322,2348581.4821158126,3982502.9276451333,-5024668.182470324,3.896001849947849e-09,5.705805038691885e-16
1100.0,2276693.416091079,3998576.876108253,-5044948.458185541,2276693.4160910835,3998576.8761082627,-5044948.458185554,1.6244839450821662e-08,2.379102740736113e-15
1110.0,2204520.293455575,4014150.177113023,-5064597.074012416,2204520.293455572,4014150.17711302,-5064597.074012412,6.552435122183658e-09,9.596226792437906e-16
1120.0,2132071.150746922,4029220.8807823057,-5083611.569818264,2132071.1507469085,4029220.8807822824,-5083611.569818234,4.0157717955020047e-08,5.881211515676977e-15
1130.0,2059355.0590622064,4043787.100167341,-5101989.564866254,2059355.0590622055,4043787.1001673397,-5101989.564866251,3.259629011154175e-09,4.773818995070214e-16
1140.0,1986381.1229223,4057847.0114841447,-5119728.75811367,1986381.1229222985,4057847.011484145,-5119728.75811367,1.4725502860585132e-09,2.1565915945425717e-16
1150.0,1913158.4791318057,4071398.8543416657,-5136826.928499771,1913158.4791318057,4071398.8543416685,-5136826.928499774,3.951267047896315e-09,5.786742486122225e-16
1160.0,1839696.295635129,4084440.931962298,-5153281.93522401,1839696.2956351324,4084440.9319623085,-5153281.935224023,1.6899078443296304e-08,2.4749178938993615e-15
1170.0,1766003.7703685963,4096971.611394342,-5169091.718014089,1766003.7703685937,4096971.6113943374,-5169091.718014084,7.711581495441122e-09,1.1293829481513217e-15
1180.0,1692090.1301087805,4108989.323716387,-5184254.297383835,1692090.130108768,4108989.3237163634,-5184254.297383804,4.0824448306679144e-08,5.978856063766609e-15
1190.0,1617964.6293172557,4120492.564233761,-5198767.774881044,1617964.6293172536,4120492.564233759,-5198767.774881042,3.958120942115784e-09,5.796780208299546e-16
1200.0,1543636.5489819422,4131479.8926670705,-5212630.333325376,1543636.548981941,4131479.8926670696,-5212630.333325375,1.757832811044238e-09,2.5743959311950506e-16
1210.0,1469115.19545498,4141949.933332338,-5225840.237035616,1469115.1954549795,4141949.9333323403,-5225840.237035619,3.666620642883615e-09,5.369869765184289e-16
1220.0,1394409.8992875589,4151901.3753133495,-5238395.832047131,1394409.8992875598,4151901.37531336,-5238395.832047145,1.73486173247892e-08,2.5407541361266186e-15
1230.0,1319530.0140616777,4161332.9726257995,-5250295.546318971,1319530.0140616742,4161332.9726257953,-5250295.546318966,7.17254439403739e-09,1.050439438171406e-15
1240.0,1244484.9152189908,4170243.5443732264,-5261537.889930602,1244484.915218981,4170243.544373201,-5261537.8899305705,4.160052292605662e-08,6.0925143895116076e-15
1250.0,1169283.9988869447,4178631.974894875,-5272121.455268472,1169283.9988869429,4178631.9748948733,-5272121.455268471,3.226196034939731e-09,4.724855454628006e-16
1260.0,1093936.680702373,4186497.2139055342,-5282044.917202435,1093936.6807023701,4186497.2139055342,-5282044.917202435,2.7939677238464355e-09,4.0918448529173265e-16
1270.0,1018452.3946325299,4193838.2766268356,-5291307.033251413,1018452.394632528,4193838.276626838,-5291307.033251416,4.140524948895615e-09,6.06391604166058e-16
1280.0,942840.5917939339,4200654.243910662,-5299906.643739094,942840.591793934,4200654.243910672,-5299906.643739107,1.6582135672749757e-08,2.428500727614246e-15
