time_s,energy_Jkg,dE_rel,h_mag_m2s
2750.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.72021
2760.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.72021
2770.0,-29188081.741769392,-1.2763052849515853e-16,52169899605.72021
2780.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.72021
2790.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.720215
2800.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.72021
2810.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.720215
2820.0,-29188081.741769392,-1.2763052849515853e-16,52169899605.72021
2830.0,-29188081.741769392,-1.2763052849515853e-16,52169899605.72021
2840.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.72021
2850.0,-29188081.741769377,3.8289158548547556e-16,52169899605.720215
2860.0,-29188081.741769392,-1.2763052849515853e-16,52169899605.72022
2870.0,-29188081.741769377,3.8289158548547556e-16,52169899605.720215
2880.0,-29188081.741769392,-1.2763052849515853e-16,52169899605.72021
2890.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
2900.0,-29188081.74176937,6.381526424757926e-16,52169899605.72022
2910.0,-29188081.741769385,1.2763052849515853e-16,52169899605.720215
2920.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
2930.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
2940.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
2950.0,-29188081.74176937,6.381526424757926e-16,52169899605.72022
2960.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
2970.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
2980.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
2990.0,-29188081.74176937,6.381526424757926e-16,52169899605.72022
3000.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3010.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
3020.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3030.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3040.0,-29188081.741769366,7.657831709709511e-16,52169899605.72023
3050.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3060.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
3070.0,-29188081.74176936,1.0210442279612682e-15,52169899605.72024
3080.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
