time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
11740.0,5664531.865998686,2360289.6202620533,-2977944.3660970037,-4258.603164798442,3943.2632874567776,-4975.160077861692
11750.0,5621590.993676711,2399573.201680051,-3027507.9107398223,-4329.4814090254,3913.370761584509,-4937.445096511291
11760.0,5577944.05043297,2438555.397091089,-3076691.2008775403,-4399.8158710859725,3882.986716976033,-4899.1099728534555
11770.0,5533596.518316554,2477231.310337737,-3125488.059096883,-4469.597716983072,3852.114969862446,-4860.159521773527
11780.0,5488553.967370307,2515596.083731519,-3173892.356520314,-4538.818182128113,3820.759397730205,-4820.598635441879
11790.0,5442822.054931374,2553644.8986630924,-3221898.0135758948,-4607.468572441844,3788.9239388341102,-4780.432282699451
11800.0,5396406.524920605,2591372.976207455,-3269499.0007608626,-4675.540265446317,3756.6125917026593,-4739.665508433662
11810.0,5349313.207121024,2628775.577724128,-3316689.339398873,-4743.0247113478745,3723.829414635843,-4698.303432944786
11820.0,5301548.016445738,2665848.0054523908,-3363463.102391002,-4809.913434111002,3690.5785251954126,-4656.351251302836
11830.0,5253116.9521950465,2702585.6031013303,-3409814.414960199,-4876.1980325229115,3656.864099687711,-4613.814232695048
11840.0,5204026.097302772,2738983.7564345943,-3455737.4553890657,-4941.870181248739,3622.690372639146,-4570.697719764101
11850.0,5154281.61757238,2775037.893850003,-3501226.4557511415,-5006.921631877201,3588.061636264319,-4527.007127937059
11860.0,5103889.760902527,2810743.4869537298,-3546275.70263534,-5071.344213956593,3552.9822399269283,-4482.7479447452015
11870.0,5052856.856502224,2846096.0511290133,-3590879.537863484,-5135.129836021002,3517.4565895934984,-4437.925729134803
11880.0,5001189.314096021,2881091.1460994915,-3635032.35920106,-5198.2704866065915,3481.4891472799804,-4392.546110768914
11890.0,4948893.62311896,2915724.376486913,-3678728.6210608697,-5260.758235257833,3445.08443049132,-4346.614789320272
11900.0,4895976.351901362,2949991.392363112,-3721962.835199453,-5322.5852335235795,3408.2470116540744,-4300.137533755445
11910.0,4842444.146843963,2983887.8897964307,-3764729.5714064986,-5383.743715942826,3370.9815175421054,-4253.120181610228
