time_s,r_error_norm_m,v_error_norm_ms,vx_error_ms,vy_error_ms,vz_error_ms,h_error_m2s,energy_error_Jkg
970.0,1.497374399640926e-08,1.7093903924626376e-11,-1.2732925824820995e-11,-1.0459189070388675e-11,4.547473508864641e-12,2.288818359375e-05,2.60770320892334e-08
980.0,1.4791619194921656e-08,1.755348336302521e-11,-1.2732925824820995e-11,-1.1368683772161603e-11,4.092726157978177e-12,3.0517578125e-05,3.3527612686157227e-08
990.0,1.5590962993710494e-08,1.663405888227488e-11,-1.2732925824820995e-11,-1.0459189070388675e-11,2.2737367544323206e-12,3.0517578125e-05,3.3527612686157227e-08
1000.0,1.594847421119335e-08,1.5468095945557207e-11,-1.1823431123048067e-11,-9.094947017729282e-12,4.092726157978177e-12,3.0517578125e-05,4.0978193283081055e-08
1010.0,1.594847421119335e-08,1.5528140537720786e-11,-1.1823431123048067e-11,-9.549694368615746e-12,3.183231456205249e-12,3.0517578125e-05,3.3527612686157227e-08
1020.0,1.6009540704703968e-08,1.6421354380570655e-11,-1.2732925824820995e-11,-1.000444171950221e-11,2.7284841053187847e-12,3.0517578125e-05,4.0978193283081055e-08
1030.0,1.6718472420253083e-08,1.508911738986813e-11,-1.1823431123048067e-11,-8.640199666842818e-12,3.637978807091713e-12,3.0517578125e-05,3.3527612686157227e-08
1040.0,1.7134816844923513e-08,1.3710462946329549e-11,-1.000444171950221e-11,-9.094947017729282e-12,2.2737367544323206e-12,3.0517578125e-05,3.3527612686157227e-08
1050.0,1.5479298437568044e-08,1.45323621666419e-11,-1.0913936421275139e-11,-9.322320693172514e-12,2.2737367544323206e-12,3.0517578125e-05,3.3527612686157227e-08
1060.0,1.611753208551256e-08,1.4530583310870914e-11,-1.0913936421275139e-11,-9.549694368615746e-12,9.094947017729282e-13,1.52587890625e-05,1.862645149230957e-08
1070.0,1.584617376995604e-08,1.3986715656965042e-11,-1.0913936421275139e-11,-8.640199666842818e-12,1.3642420526593924e-12,3.0517578125e-05,3.3527612686157227e-08
1080.0,1.5859851954436305e-08,1.3399622819777114e-11,-1.000444171950221e-11,-8.86757334228605e-12,9.094947017729282e-13,3.0517578125e-05,2.60770320892334e-08
1090.0,1.679611280269123e-08,1.5083977169180785e-11,-1.1823431123048067e-11,-9.322320693172514e-12,9.094947017729282e-13,2.288818359375e-05,3.3527612686157227e-08
1100.0,1.72546201512673e-08,1.544802921804424e-11,-1.2732925824820995e-11,-8.640199666842818e-12,1.3642420526593924e-12,3.0517578125e-05,4.0978193283081055e-08
1110.0,1.6892661477641253e-08,1.3986715656965042e-11,-1.0913936421275139e-11,-8.640199666842818e-12,1.3642420526593924e-12,1.52587890625e-05,1.862645149230957e-08
1120.0,1.6892661477641253e-08,1.3780045332625159e-11,-1.0913936421275139e-11,-8.412825991399586e-12,0.0,2.288818359375e-05,2.60770320892334e-08
1130.0,1.7871932184691995e-08,1.3795044025862365e-11,-1.1823431123048067e-11,-7.048583938740194e-12,9.094947017729282e-13,7.62939453125e-06,3.3527612686157227e-08
1140.0,1.863227134919032e-08,1.568054326486769e-11,-1.3642420526593924e-11,-7.73070496506989e-12,0.0,1.52587890625e-05,1.862645149230957e-08
1150.0,2.021340121555901e-08,1.504279217171924e-11,-1.2732925824820995e-11,-7.958078640513122e-12,-9.094947017729282e-13,7.62939453125e-06,1.862645149230957e-08
1160.0,2.055777241908397e-08,1.7484133811162288e-11,-1.546140993013978e-11,-7.958078640513122e-12,-1.8189894035458565e-12,1.52587890625e-05,1.862645149230957e-08
1170.0,2.0908139944675983e-08,1.561115267920456e-11,-1.3642420526593924e-11,-7.503331289626658e-12,-1.1368683772161603e-12,0.0,1.1175870895385742e-08
1180.0,2.1726979217097545e-08,1.567559698118492e-11,-1.3642420526593924e-11,-7.503331289626658e-12,-1.8189894035458565e-12,7.62939453125e-06,-3.725290298461914e-09
1190.0,2.1288412531209104e-08,1.743527674323633e-11,-1.546140993013978e-11,-7.73070496506989e-12,-2.2737367544323206e-12,0.0,0.0
1200.0,2.0244219451476035e-08,1.71843963723324e-11,-1.546140993013978e-11,-7.275957614183426e-12,-1.8189894035458565e-12,7.62939453125e-06,7.450580596923828e-09
1210.0,2.0104491286839267e-08,1.8104785069732486e-11,-1.6370904631912708e-11,-7.389644451905042e-12,-2.2737367544323206e-12,1.52587890625e-05,1.4901161193847656e-08
1220.0,2.09508770587476e-08,1.8478920331543907e-11,-1.6370904631912708e-11,-7.958078640513122e-12,-3.183231456205249e-12,7.62939453125e-06,1.4901161193847656e-08
1230.0,2.073238894295296e-08,1.795424377831963e-11,-1.6370904631912708e-11,-6.934897101018578e-12,-2.5011104298755527e-12,0.0,0.0
1240.0,2.03723487017931e-08,1.652843979305695e-11,-1.4551915228366852e-11,-7.16227077646181e-12,-3.183231456205249e-12,0.0,7.450580596923828e-09
1250.0,2.124252678445921e-08,1.8514207815181616e-11,-1.6370904631912708e-11,-7.617018127348274e-12,-4.092726157978177e-12,2.288818359375e-05,1.4901161193847656e-08
1260.0,2.240624502163209e-08,1.725944431595812e-11,-1.4551915228366852e-11,-7.958078640513122e-12,-4.774847184307873e-12,1.52587890625e-05,-3.725290298461914e-09
1270.0,2.144602793282493e-08,1.6814125720183596e-11,-1.4551915228366852e-11,-7.16227077646181e-12,-4.433786671143025e-12,0.0,3.725290298461914e-09
1280.0,2.1883913089619128e-08,1.7870182294362674e-11,-1.546140993013978e-11,-7.275957614183426e-12,-5.229594535194337e-12,7.62939453125e-06,0.0
1290.0,2.1222420573008033e-08,1.916323088318697e-11,-1.6370904631912708e-11,-7.844391802791506e-12,-6.139089236967266e-12,7.62939453125e-06,2.2351741790771484e-08
1300.0,2.0887711859735214e-08,1.9412506085079788e-11,-1.7280399333685637e-11,-7.048583938740194e-12,-5.343281372915953e-12,2.288818359375e-05,2.9802322387695312e-08
1310.0,2.2027120209287896e-08,1.9736375562145374e-11,-1.7280399333685637e-11,-7.389644451905042e-12,-6.0254023992456496e-12,2.288818359375e-05,2.2351741790771484e-08
1320.0,2.1058305750314467e-08,2.0924941908003315e-11,-1.8189894035458565e-11,-7.673861546209082e-12,-6.934897101018578e-12,2.288818359375e-05,2.2351741790771484e-08
1330.0,1.941345481059766e-08,2.134846904279348e-11,-1.8189894035458565e-11,-8.01492205937393e-12,-7.787548383930698e-12,3.0517578125e-05,3.725290298461914e-08
1340.0,1.8263482646121068e-08,2.003034969317551e-11,-1.7280399333685637e-11,-7.219114195322618e-12,-7.105427357601002e-12,3.814697265625e-05,4.470348358154297e-08
1350.0,1.753674241007441e-08,2.0515119836399544e-11,-1.7280399333685637e-11,-7.617018127348274e-12,-8.01492205937393e-12,3.0517578125e-05,2.9802322387695312e-08
1360.0,2.0361702059465877e-08,2.0987618696103254e-11,-1.7280399333685637e-11,-8.01492205937393e-12,-8.810729923425242e-12,1.52587890625e-05,1.4901161193847656e-08
1370.0,1.932549130387927e-08,1.972007902242686e-11,-1.6370904631912708e-11,-7.275957614183426e-12,-8.242295734817162e-12,7.62939453125e-06,1.4901161193847656e-08
1380.0,1.948635661149936e-08,2.0937566544240235e-11,-1.7280399333685637e-11,-7.688072400924284e-12,-8.981260180007666e-12,2.288818359375e-05,1.4901161193847656e-08
1390.0,1.9673844961708047e-08,2.2141191166458007e-11,-1.8189894035458565e-11,-8.071765478234738e-12,-9.706013770482969e-12,2.288818359375e-05,2.9802322387695312e-08
1400.0,1.8636277127871116e-08,2.166974701433453e-11,-1.8189894035458565e-11,-7.421618875014246e-12,-9.14468500923249e-12,3.0517578125e-05,2.9802322387695312e-08
1410.0,1.7826543100828365e-08,2.2125486185191164e-11,-1.8189894035458565e-11,-7.808864666003501e-12,-9.883649454422994e-12,3.814697265625e-05,2.9802322387695312e-08
1420.0,1.8041370366668507e-08,2.261262710293338e-11,-1.8189894035458565e-11,-8.213874025386758e-12,-1.0629719326971099e-11,3.814697265625e-05,3.725290298461914e-08
1430.0,1.8278410422769187e-08,2.3813067804612608e-11,-1.9099388737231493e-11,-8.58335624798201e-12,-1.1340262062731199e-11,4.57763671875e-05,5.21540641784668e-08
1440.0,1.7017754046819288e-08,2.398000782584956e-11,-2.000888343900442e-11,-7.815970093361102e-12,-1.0658141036401503e-11,6.103515625e-05,6.332993507385254e-08
1450.0,1.7189403281917644e-08,2.2913204217664274e-11,-1.8189894035458565e-11,-8.213874025386758e-12,-1.1254996934439987e-11,6.103515625e-05,6.705522537231445e-08
1460.0,1.742432499358418e-08,2.271874369738526e-11,-1.7280399333685637e-11,-8.58335624798201e-12,-1.1993961379630491e-11,4.57763671875e-05,5.21540641784668e-08
1470.0,1.71221572075507e-08,2.2122243435030636e-11,-1.7280399333685637e-11,-7.844391802791506e-12,-1.1368683772161603e-11,5.340576171875e-05,5.960464477539063e-08
1480.0,1.7352132313533707e-08,2.2581150989817255e-11,-1.7280399333685637e-11,-8.128608897095546e-12,-1.2050804798491299e-11,6.103515625e-05,5.960464477539063e-08
1490.0,1.75983621559077e-08,2.2381008906864383e-11,-1.6370904631912708e-11,-8.412825991399586e-12,-1.2732925824820995e-11,6.103515625e-05,5.960464477539063e-08
1500.0,1.641786260775295e-08,2.043898379894219e-11,-1.4551915228366852e-11,-7.617018127348274e-12,-1.2164491636212915e-11,6.103515625e-05,5.21540641784668e-08
1510.0,1.5671162834809766e-08,2.0216128365405462e-11,-1.3642420526593924e-11,-7.958078640513122e-12,-1.261923898709938e-11,5.340576171875e-05,4.470348358154297e-08
1520.0,1.6844858594438025e-08,2.0244239166459475e-11,-1.2732925824820995e-11,-8.412825991399586e-12,-1.3301360013429075e-11,3.0517578125e-05,4.470348358154297e-08
1530.0,1.7957039806837458e-08,1.9751431755579686e-11,-1.0913936421275139e-11,-8.86757334228605e-12,-1.3869794202037156e-11,7.62939453125e-06,2.2351741790771484e-08
1540.0,1.643106489172405e-08,1.9005093642234652e-11,-1.0913936421275139e-11,-8.071765478234738e-12,-1.3301360013429075e-11,1.52587890625e-05,1.862645149230957e-08
1550.0,1.8024460629524575e-08,1.8976168873064473e-11,-1.000444171950221e-11,-8.412825991399586e-12,-1.375610736431554e-11,1.52587890625e-05,1.1175870895385742e-08
1560.0,1.745608835269377e-08,2.012385483276161e-11,-1.0913936421275139e-11,-8.981260180007666e-12,-1.432454155292362e-11,1.52587890625e-05,1.4901161193847656e-08
1570.0,1.7212153950963375e-08,1.7989841985447567e-11,-9.094947017729282e-12,-8.185452315956354e-12,-1.318767317570746e-11,0.0,3.725290298461914e-09
1580.0,1.840540596653863e-08,1.9161881929863943e-11,-9.094947017729282e-12,-8.526512829121202e-12,-1.4551915228366852e-11,0.0,1.1175870895385742e-08
1590.0,1.9368375039738996e-08,1.973441086396101e-11,-9.094947017729282e-12,-8.640199666842818e-12,-1.5234036254696548e-11,7.62939453125e-06,1.1175870895385742e-08
1600.0,1.8221880125927886e-08,1.9464036594429395e-11,-1.000444171950221e-11,-8.185452315956354e-12,-1.4551915228366852e-11,7.62939453125e-06,7.450580596923828e-09
1610.0,1.9657305366550977e-08,2.02464735771025e-11,-1.000444171950221e-11,-8.412825991399586e-12,-1.546140993013978e-11,0.0,-1.1175870895385742e-08
1620.0,2.0899063260964244e-08,2.0286013771688397e-11,-8.185452315956354e-12,-9.549694368615746e-12,-1.5916157281026244e-11,1.52587890625e-05,-1.862645149230957e-08
1630.0,2.0934051641252844e-08,2.0399106522160656e-11,-6.366462912410498e-12,-1.000444171950221e-11,-1.659827830735594e-11,1.52587890625e-05,-2.60770320892334e-08
1640.0,2.0867913230095694e-08,2.0118394903168924e-11,-7.275957614183426e-12,-9.549694368615746e-12,-1.6143530956469476e-11,7.62939453125e-06,-1.862645149230957e-08
